"loan_id","account_id","loan_date","loan_amount","duration","monthly_payment","status"
"5314","1787","1993-07-05","96396","12","8033","Contract finished, loan not payed"
"5316","1801","1993-07-11","165960","36","4610","Contract finished, no problems"
"6863","9188","1993-07-28","127080","60","2118","Contract finished, no problems"
"5325","1843","1993-08-03","105804","36","2939","Contract finished, no problems"
"7240","11013","1993-09-06","274740","60","4579","Contract finished, no problems"
"6687","8261","1993-09-13","87840","24","3660","Contract finished, no problems"
"7284","11265","1993-09-15","52788","12","4399","Contract finished, no problems"
"6111","5428","1993-09-24","174744","24","7281","Contract finished, loan not payed"
"7235","10973","1993-10-13","154416","48","3217","Contract finished, no problems"
"5997","4894","1993-11-04","117024","24","4876","Contract finished, no problems"
"7121","10364","1993-11-10","21924","36","609","Contract finished, no problems"
"6077","5270","1993-11-22","79608","24","3317","Contract finished, no problems"
"6228","6034","1993-12-01","464520","60","7742","Contract finished, loan not payed"
"6356","6701","1993-12-08","95400","36","2650","Contract finished, no problems"
"5523","2705","1993-12-08","93888","36","2608","Contract finished, no problems"
"6456","7123","1993-12-09","47016","12","3918","Contract finished, no problems"
"7104","10320","1993-12-13","259740","60","4329","Contract finished, no problems"
"6820","9034","1993-12-16","38148","12","3179","Contract finished, no problems"
"6876","9236","1993-12-21","86616","12","7218","Contract finished, no problems"
"7097","10266","1993-12-23","75624","24","3151","Contract finished, loan not payed"
"4959","2","1994-01-05","80952","24","3373","Contract finished, no problems"
"6499","7401","1994-01-05","80952","24","3373","Contract finished, no problems"
"5479","2486","1994-01-10","24516","12","2043","Contract finished, no problems"
"5170","1071","1994-01-20","253200","60","4220","Running contract, OK so far"
"6721","8475","1994-01-21","21072","24","878","Contract finished, no problems"
"7259","11111","1994-01-31","108144","36","3004","Contract finished, no problems"
"5285","1603","1994-02-06","78936","12","6578","Contract finished, no problems"
"5189","1166","1994-02-07","149040","48","3105","Contract finished, no problems"
"6650","8073","1994-02-17","49320","12","4110","Contract finished, loan not payed"
"7226","10940","1994-02-23","197748","36","5493","Contract finished, no problems"
"6087","5313","1994-02-27","300660","60","5011","Running contract, OK so far"
"7262","11135","1994-03-01","182628","36","5073","Contract finished, no problems"
"5519","2694","1994-03-08","91632","12","7636","Contract finished, no problems"
"6577","7753","1994-03-11","51696","24","2154","Contract finished, no problems"
"6509","7445","1994-03-15","55368","24","2307","Contract finished, no problems"
"6520","7485","1994-03-16","91200","24","3800","Contract finished, no problems"
"6699","8330","1994-03-30","7656","24","319","Contract finished, no problems"
"6336","6555","1994-03-31","212400","36","5900","Contract finished, no problems"
"7055","10079","1994-04-06","167100","60","2785","Running contract, OK so far"
"6103","5385","1994-04-07","149340","60","2489","Running contract, OK so far"
"6202","5891","1994-04-18","65184","12","5432","Contract finished, no problems"
"7066","10131","1994-05-02","215388","36","5983","Contract finished, loan not payed"
"6696","8321","1994-05-09","89040","60","1484","Running contract, OK so far"
"6072","5256","1994-05-10","193968","36","5388","Contract finished, no problems"
"5130","813","1994-05-11","24312","12","2026","Contract finished, no problems"
"5568","2933","1994-05-17","272520","60","4542","Running contract, OK so far"
"6678","8173","1994-05-20","80340","12","6695","Contract finished, no problems"
"6998","9833","1994-05-21","97632","12","8136","Contract finished, no problems"
"6580","7769","1994-05-22","196080","48","4085","Contract finished, no problems"
"6316","6473","1994-05-26","76908","12","6409","Contract finished, loan not payed"
"6512","7454","1994-05-26","63312","48","1319","Contract finished, no problems"
"6407","6930","1994-05-26","25944","24","1081","Contract finished, no problems"
"5002","173","1994-05-31","104808","12","8734","Contract finished, no problems"
"6647","8051","1994-06-01","208320","48","4340","Contract finished, no problems"
"7137","10439","1994-06-03","151560","24","6315","Contract finished, no problems"
"6903","9337","1994-06-04","52128","24","2172","Contract finished, no problems"
"5918","4576","1994-06-04","300204","36","8339","Contract finished, no problems"
"6642","8027","1994-06-05","77640","12","6470","Contract finished, no problems"
"6210","5927","1994-06-06","87216","48","1817","Contract finished, loan not payed"
"6279","6273","1994-06-07","87360","24","3640","Contract finished, no problems"
"7249","11065","1994-06-12","69360","48","1445","Contract finished, no problems"
"6736","8558","1994-06-14","288360","60","4806","Running contract, OK so far"
"6112","5442","1994-06-17","174744","24","7281","Contract finished, loan not payed"
"5319","1811","1994-06-23","239460","60","3991","Running contract, OK so far"
"6596","7844","1994-06-25","91584","24","3816","Contract finished, no problems"
"5837","4260","1994-06-29","244560","60","4076","Running contract, OK so far"
"5657","3354","1994-07-05","4980","12","415","Contract finished, no problems"
"5533","2762","1994-07-05","111384","24","4641","Contract finished, no problems"
"6232","6051","1994-07-08","276660","36","7685","Contract finished, loan not payed"
"6888","9265","1994-07-11","39576","12","3298","Contract finished, no problems"
"6066","5228","1994-07-11","173808","24","7242","Contract finished, no problems"
"5549","2824","1994-07-16","50460","60","841","Running contract, OK so far"
"5060","426","1994-07-19","252060","60","4201","Running contract, client in debt"
"6004","4937","1994-07-23","143904","24","5996","Contract finished, no problems"
"5126","790","1994-07-24","208128","48","4336","Contract finished, loan not payed"
"7220","10911","1994-07-28","131292","36","3647","Contract finished, no problems"
"6668","8129","1994-07-30","74736","36","2076","Contract finished, no problems"
"5395","2176","1994-07-30","299088","36","8308","Contract finished, loan not payed"
"6836","9093","1994-08-03","189300","60","3155","Running contract, OK so far"
"6064","5215","1994-08-04","14628","12","1219","Contract finished, no problems"
"6919","9403","1994-08-05","120888","36","3358","Contract finished, no problems"
"6841","9104","1994-08-07","172080","48","3585","Contract finished, no problems"
"6038","5120","1994-08-10","323472","48","6739","Contract finished, no problems"
"6729","8519","1994-08-11","74688","12","6224","Contract finished, no problems"
"7198","10788","1994-08-23","45768","12","3814","Contract finished, no problems"
"6686","8260","1994-08-25","224604","36","6239","Contract finished, no problems"
"5836","4259","1994-08-27","79632","24","3318","Contract finished, no problems"
"7061","10105","1994-08-27","121896","24","5079","Contract finished, no problems"
"5595","3050","1994-09-02","82896","12","6908","Contract finished, no problems"
"5723","3674","1994-09-10","23628","12","1969","Contract finished, no problems"
"6120","5481","1994-09-11","209184","48","4358","Contract finished, no problems"
"6895","9307","1994-09-19","41904","12","3492","Contract finished, no problems"
"5882","4427","1994-09-26","87816","12","7318","Contract finished, no problems"
"5754","3834","1994-09-28","23052","12","1921","Contract finished, no problems"
"6594","7824","1994-09-28","189696","24","7904","Contract finished, loan not payed"
"6738","8566","1994-09-29","230220","36","6395","Contract finished, loan not payed"
"6624","7965","1994-09-30","71460","12","5955","Contract finished, no problems"
"6216","5952","1994-09-30","141240","24","5885","Contract finished, no problems"
"6229","6040","1994-10-02","11736","24","489","Contract finished, no problems"
"5887","4448","1994-10-03","192744","36","5354","Contract finished, no problems"
"6808","8982","1994-10-12","227880","36","6330","Contract finished, no problems"
"6297","6363","1994-10-25","17508","12","1459","Contract finished, no problems"
"5161","1012","1994-10-28","98184","24","4091","Contract finished, no problems"
"5390","2167","1994-10-30","170256","24","7094","Contract finished, no problems"
"6150","5622","1994-11-02","83016","12","6918","Contract finished, no problems"
"6223","5991","1994-11-03","61056","48","1272","Contract finished, no problems"
"5032","290","1994-11-03","123696","48","2577","Contract finished, no problems"
"6253","6148","1994-11-04","59760","24","2490","Contract finished, no problems"
"6460","7133","1994-11-06","48672","36","1352","Contract finished, no problems"
"6645","8041","1994-11-06","140400","36","3900","Contract finished, no problems"
"5176","1106","1994-11-12","192552","24","8023","Contract finished, loan not payed"
"5269","1527","1994-11-19","164052","36","4557","Contract finished, loan not payed"
"5351","1978","1994-12-04","205200","36","5700","Contract finished, no problems"
"5861","4337","1994-12-08","51408","24","2142","Contract finished, no problems"
"5450","2345","1994-12-11","199680","60","3328","Running contract, OK so far"
"7142","10451","1994-12-19","482940","60","8049","Running contract, client in debt"
"6306","6425","1994-12-20","36684","12","3057","Contract finished, no problems"
"6272","6226","1994-12-20","398640","60","6644","Running contract, OK so far"
"5044","344","1994-12-21","100980","60","1683","Running contract, OK so far"
"5576","2962","1994-12-21","31248","12","2604","Contract finished, no problems"
"7192","10738","1994-12-21","115992","36","3222","Contract finished, no problems"
"5739","3747","1995-01-02","76380","12","6365","Contract finished, no problems"
"6526","7523","1995-01-03","288468","36","8013","Contract finished, no problems"
"5624","3166","1995-01-03","177744","48","3703","Running contract, client in debt"
"6244","6118","1995-01-08","270648","36","7518","Contract finished, loan not payed"
"5131","816","1995-01-08","48624","24","2026","Contract finished, no problems"
"6960","9640","1995-01-11","76416","24","3184","Contract finished, no problems"
"6358","6715","1995-01-14","137880","60","2298","Running contract, client in debt"
"5418","2245","1995-01-16","347952","48","7249","Running contract, OK so far"
"6598","7857","1995-01-18","68112","12","5676","Contract finished, no problems"
"5464","2419","1995-01-30","95808","12","7984","Contract finished, no problems"
"6591","7819","1995-02-02","20832","48","434","Running contract, OK so far"
"5724","3678","1995-02-05","316140","60","5269","Running contract, client in debt"
"6315","6472","1995-02-06","43164","12","3597","Contract finished, no problems"
"5876","4413","1995-02-08","221280","48","4610","Running contract, OK so far"
"6986","9750","1995-02-11","151728","48","3161","Running contract, client in debt"
"6294","6353","1995-02-12","79920","60","1332","Running contract, OK so far"
"5132","817","1995-02-17","538500","60","8975","Running contract, OK so far"
"5877","4414","1995-02-23","97224","24","4051","Contract finished, no problems"
"6227","6030","1995-03-04","28248","24","1177","Contract finished, no problems"
"7241","11021","1995-03-04","168984","24","7041","Contract finished, loan not payed"
"6737","8564","1995-03-11","76680","24","3195","Contract finished, no problems"
"7004","9869","1995-03-15","331560","60","5526","Running contract, OK so far"
"6169","5700","1995-03-16","103680","60","1728","Running contract, client in debt"
"5208","1247","1995-03-16","99696","48","2077","Running contract, client in debt"
"6694","8316","1995-03-19","134784","24","5616","Contract finished, no problems"
"5599","3064","1995-03-21","15420","12","1285","Contract finished, no problems"
"6546","7607","1995-03-27","31728","24","1322","Contract finished, no problems"
"5414","2228","1995-03-29","185952","48","3874","Running contract, OK so far"
"5453","2361","1995-04-01","156672","36","4352","Contract finished, no problems"
"5740","3752","1995-04-02","18564","12","1547","Contract finished, no problems"
"5804","4079","1995-04-05","158976","48","3312","Running contract, OK so far"
"6745","8625","1995-04-10","47304","24","1971","Contract finished, no problems"
"6950","9591","1995-04-11","104712","24","4363","Contract finished, no problems"
"6996","9828","1995-04-13","126600","24","5275","Contract finished, no problems"
"5352","1993","1995-04-15","68400","12","5700","Contract finished, loan not payed"
"6151","5628","1995-04-25","225420","60","3757","Running contract, OK so far"
"5310","1762","1995-04-28","248148","36","6893","Contract finished, no problems"
"5045","347","1995-05-01","187224","24","7801","Contract finished, loan not payed"
"6929","9472","1995-05-08","36396","12","3033","Contract finished, no problems"
"5151","960","1995-05-24","189060","60","3151","Running contract, OK so far"
"5212","1256","1995-05-29","71064","36","1974","Contract finished, no problems"
"5138","854","1995-05-30","87216","48","1817","Running contract, OK so far"
"5713","3629","1995-05-30","158760","60","2646","Running contract, OK so far"
"6704","8377","1995-06-01","417060","60","6951","Running contract, OK so far"
"6474","7190","1995-06-06","63360","60","1056","Running contract, OK so far"
"6676","8159","1995-06-13","29784","24","1241","Contract finished, no problems"
"6965","9656","1995-06-13","139536","24","5814","Contract finished, no problems"
"6725","8489","1995-06-23","265320","36","7370","Contract finished, no problems"
"7166","10630","1995-06-24","198240","24","8260","Contract finished, no problems"
"7138","10440","1995-07-03","60000","60","1000","Running contract, OK so far"
"5970","4774","1995-07-09","465072","48","9689","Running contract, OK so far"
"6157","5650","1995-07-10","98592","24","4108","Contract finished, no problems"
"6153","5632","1995-07-25","285600","60","4760","Running contract, OK so far"
"5693","3489","1995-08-01","44088","24","1837","Contract finished, no problems"
"5922","4580","1995-08-05","20220","12","1685","Contract finished, no problems"
"5959","4727","1995-08-11","107640","24","4485","Contract finished, no problems"
"5980","4825","1995-08-18","21396","12","1783","Contract finished, no problems"
"6764","8776","1995-08-26","33984","48","708","Running contract, OK so far"
"5237","1375","1995-08-29","45336","24","1889","Contract finished, no problems"
"6726","8492","1995-09-03","85860","60","1431","Running contract, OK so far"
"6933","9493","1995-09-09","188688","48","3931","Running contract, OK so far"
"5145","915","1995-09-16","309552","48","6449","Running contract, OK so far"
"7008","9897","1995-09-22","36168","12","3014","Contract finished, no problems"
"7227","10942","1995-10-02","314520","60","5242","Running contract, OK so far"
"6600","7861","1995-10-08","21852","36","607","Contract finished, no problems"
"6712","8405","1995-10-14","266220","60","4437","Running contract, OK so far"
"7057","10093","1995-10-20","231696","36","6436","Contract finished, no problems"
"7176","10663","1995-10-28","260028","36","7223","Contract finished, no problems"
"7304","11349","1995-10-29","419880","60","6998","Running contract, OK so far"
"6362","6738","1995-10-31","37908","12","3159","Contract finished, no problems"
"5880","4423","1995-10-31","73836","36","2051","Contract finished, no problems"
"6535","7546","1995-11-02","41952","12","3496","Contract finished, no problems"
"5449","2343","1995-11-04","99336","24","4139","Contract finished, no problems"
"6342","6609","1995-11-12","60156","36","1671","Contract finished, loan not payed"
"5409","2218","1995-11-18","182040","60","3034","Running contract, OK so far"
"6955","9627","1995-11-22","244368","48","5091","Running contract, OK so far"
"6985","9731","1995-11-22","113796","36","3161","Contract finished, no problems"
"5125","789","1995-11-23","73056","48","1522","Running contract, OK so far"
"5805","4081","1995-11-28","137904","24","5746","Contract finished, loan not payed"
"6185","5774","1995-11-28","31176","24","1299","Contract finished, no problems"
"7243","11042","1995-12-04","217152","36","6032","Contract finished, no problems"
"6403","6924","1995-12-05","194880","48","4060","Running contract, OK so far"
"6578","7765","1995-12-11","27984","12","2332","Contract finished, no problems"
"5413","2227","1995-12-12","92976","24","3874","Contract finished, no problems"
"6949","9583","1995-12-12","104712","24","4363","Contract finished, no problems"
"6545","7606","1995-12-12","191880","60","3198","Running contract, OK so far"
"6178","5742","1995-12-16","232560","48","4845","Running contract, OK so far"
"5160","1011","1995-12-18","204000","60","3400","Running contract, OK so far"
"6785","8899","1995-12-25","125340","60","2089","Running contract, OK so far"
"6540","7562","1995-12-31","309600","48","6450","Running contract, OK so far"
"6589","7815","1996-01-01","189696","24","7904","Contract finished, no problems"
"5900","4503","1996-01-01","135360","48","2820","Running contract, OK so far"
"5999","4907","1996-01-03","98832","48","2059","Running contract, OK so far"
"6043","5126","1996-01-11","20352","48","424","Running contract, OK so far"
"5482","2496","1996-01-12","165120","60","2752","Running contract, OK so far"
"7263","11138","1996-01-19","89880","24","3745","Contract finished, no problems"
"6013","4995","1996-02-03","128988","36","3583","Running contract, client in debt"
"5750","3804","1996-02-08","63252","12","5271","Contract finished, no problems"
"6027","5066","1996-02-10","61656","24","2569","Contract finished, loan not payed"
"6303","6400","1996-02-12","72408","24","3017","Contract finished, loan not payed"
"7213","10884","1996-02-13","113544","36","3154","Running contract, OK so far"
"6659","8092","1996-02-20","56100","60","935","Running contract, OK so far"
"6175","5735","1996-02-21","290700","60","4845","Running contract, client in debt"
"5610","3112","1996-02-24","123216","48","2567","Running contract, OK so far"
"5563","2912","1996-02-29","380160","60","6336","Running contract, OK so far"
"5989","4852","1996-03-04","213300","36","5925","Running contract, OK so far"
"6698","8327","1996-03-10","247728","48","5161","Running contract, OK so far"
"5312","1772","1996-03-13","202788","36","5633","Running contract, OK so far"
"7189","10728","1996-03-21","154656","48","3222","Running contract, OK so far"
"6816","9017","1996-03-26","100224","48","2088","Running contract, client in debt"
"6137","5574","1996-04-10","44628","12","3719","Contract finished, no problems"
"5128","808","1996-04-11","215616","48","4492","Running contract, client in debt"
"5470","2456","1996-04-15","200976","48","4187","Running contract, OK so far"
"5593","3037","1996-04-18","277884","36","7719","Running contract, client in debt"
"5350","1967","1996-04-21","249312","48","5194","Running contract, OK so far"
"6063","5213","1996-04-25","320976","48","6687","Running contract, client in debt"
